"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",2237.57729388508
"2","member","Sunday",898.804142677069
"3","casual","Monday",1940.92927494064
"4","member","Monday",762.800430909139
"5","casual","Tuesday",1674.95003628747
"6","member","Tuesday",739.400658374998
"7","casual","Wednesday",1703.18132524467
"8","member","Wednesday",743.444548893941
"9","casual","Thursday",1756.66400666888
"10","member","Thursday",748.721206691716
"11","casual","Friday",1832.22790463885
"12","member","Friday",773.551317831085
"13","casual","Saturday",2118.65322862926
"14","member","Saturday",885.841748061791
