"","all_trips_v4$member_casual","all_trips_v4$day_of_week","all_trips_v4$trip_duration"
"1","casual","Sunday",37.2923308613227
"2","member","Sunday",14.9782492892228
"3","casual","Monday",32.3479578612934
"4","member","Monday",12.7117501506836
"5","casual","Tuesday",27.914731343543
"6","member","Tuesday",12.3225570969127
"7","casual","Wednesday",28.3859021177113
"8","member","Wednesday",12.3886995499083
"9","casual","Thursday",29.2772319296854
"10","member","Thursday",12.4776589733559
"11","casual","Friday",30.5361481346544
"12","member","Friday",12.8908821683894
"13","casual","Saturday",35.3095128356755
"14","member","Saturday",14.7630657705708
