"","start_station_name","member_casual","num_of_rides"
"1","Streeter Dr & Grand Ave","casual",62659
"2","Millennium Park","casual",29903
"3","Michigan Ave & Oak St","casual",26910
"4","Shedd Aquarium","casual",21998
"5","DuSable Lake Shore Dr & Monroe St","casual",21760
"6","Theater on the Lake","casual",19253
"7","Wells St & Concord Ln","casual",18992
"8","DuSable Lake Shore Dr & North Blvd","casual",18117
"9","Wells St & Elm St","casual",15868
"10","Clark St & Lincoln Ave","casual",15716
"11","Clark St & Armitage Ave","casual",15408
"12","Clark St & Elm St","casual",15188
"13","Indiana Ave & Roosevelt Rd","casual",14878
"14","Wabash Ave & Grand Ave","casual",14626
"15","New St & Illinois St","casual",13976
"16","Dusable Harbor","casual",13564
"17","Michigan Ave & Lake St","casual",12722
"18","Clark St & Newport St","casual",12714
"19","Wilton Ave & Belmont Ave","casual",12598
"20","Michigan Ave & Washington St","casual",12585
"21","Michigan Ave & 8th St","casual",12333
"22","Larrabee St & Webster Ave","casual",12288
"23","Wells St & Evergreen Ave","casual",12023
"24","LaSalle St & Illinois St","casual",11992
"25","Broadway & Barry Ave","casual",11965
"26","Dearborn St & Erie St","casual",11680
"27","Montrose Harbor","casual",11445
"28","Lakeview Ave & Fullerton Pkwy","casual",11362
"29","Fairbanks Ct & Grand Ave","casual",11286
"30","Wells St & Huron St","casual",11227
"31","Damen Ave & Pierce Ave","casual",11147
"32","Ashland Ave & Division St","casual",10816
"33","Green St & Madison St","casual",10655
"34","Halsted St & Roscoe St","casual",10610
"35","Clark St & Wrightwood Ave","casual",10598
"36","St. Clair St & Erie St","casual",10491
"37","Buckingham Fountain","casual",10283
"38","Sheffield Ave & Waveland Ave","casual",10273
"39","Lincoln Ave & Fullerton Ave","casual",10259
"40","Clark St & Drummond Pl","casual",9947
"41","Lake Shore Dr & North Blvd","casual",9900
"42","Lake Shore Dr & Monroe St","casual",9725
"43","Kingsbury St & Kinzie St","casual",9642
"44","Adler Planetarium","casual",9470
"45","Dearborn Pkwy & Delaware Pl","casual",9360
"46","Green St & Randolph St","casual",9221
"47","Wabash Ave & Roosevelt Rd","casual",9211
"48","State St & Kinzie St","casual",9184
"49","Wells St & Hubbard St","casual",9159
"50","Clark St & Schiller St","casual",9124
"51","Wabash Ave & Wacker Pl","casual",9119
"52","State St & Randolph St","casual",9030
"53","Columbus Dr & Randolph St","casual",9000
"54","Rush St & Cedar St","casual",8909
"55","Morgan St & Lake St","casual",8898
"56","Southport Ave & Roscoe St","casual",8781
"57","Clark St & Grace St","casual",8744
"58","Lincoln Park Conservatory","casual",8675
"59","Desplaines St & Kinzie St","casual",8600
"60","Halsted St & Wrightwood Ave","casual",8534
"61","Broadway & Cornelia Ave","casual",8429
"62","Wilton Ave & Diversey Pkwy","casual",8230
"63","Bissell St & Armitage Ave","casual",8174
"64","Federal St & Polk St","casual",8170
"65","Rush St & Superior St","casual",8158
"66","Stockton Dr & Wrightwood Ave","casual",8156
"67","Sheffield Ave & Wrightwood Ave","casual",7946
"68","Broadway & Waveland Ave","casual",7913
"69","Pine Grove Ave & Waveland Ave","casual",7874
"70","Milwaukee Ave & Grand Ave","casual",7840
"71","Michigan Ave & Jackson Blvd","casual",7788
"72","Clark St & Wellington Ave","casual",7777
"73","Sheffield Ave & Wellington Ave","casual",7724
"74","DuSable Lake Shore Dr & Belmont Ave","casual",7715
"75","Halsted St & Dickens Ave","casual",7710
"76","Sedgwick St & North Ave","casual",7703
"77","Franklin St & Jackson Blvd","casual",7697
"78","Clinton St & Madison St","casual",7582
"79","Southport Ave & Waveland Ave","casual",7582
"80","Halsted St & Clybourn Ave","casual",7575
"81","McClurg Ct & Erie St","casual",7546
"82","Sheffield Ave & Webster Ave","casual",7512
"83","Wabash Ave & 9th St","casual",7501
"84","Wood St & Milwaukee Ave","casual",7444
"85","Mies van der Rohe Way & Chestnut St","casual",7441
"86","Sheffield Ave & Fullerton Ave","casual",7382
"87","Broadway & Belmont Ave","casual",7250
"88","DuSable Lake Shore Dr & Diversey Pkwy","casual",7185
"89","Racine Ave & Belmont Ave","casual",7180
"90","Kedzie Ave & Milwaukee Ave","casual",6990
"91","Lakefront Trail & Bryn Mawr Ave","casual",6968
"92","Michigan Ave & Pearson St","casual",6930
"93","Clark St & North Ave","casual",6815
"94","DuSable Lake Shore Dr & Wellington Ave","casual",6804
"95","Sedgwick St & Webster Ave","casual",6669
"96","Clark St & Lake St","casual",6668
"97","Franklin St & Illinois St","casual",6649
"98","Field Museum","casual",6565
"99","Cityfront Plaza Dr & Pioneer Ct","casual",6564
"100","Southport Ave & Wrightwood Ave","casual",6516
"101","Orleans St & Merchandise Mart Plaza","casual",6489
"102","Daley Center Plaza","casual",6441
"103","Michigan Ave & Madison St","casual",6382
"104","California Ave & Milwaukee Ave","casual",6333
"105","Ritchie Ct & Banks St","casual",6333
"106","Field Blvd & South Water St","casual",6314
"107","LaSalle Dr & Huron St","casual",6304
"108","Dearborn St & Monroe St","casual",6265
"109","Mies van der Rohe Way & Chicago Ave","casual",6224
"110","Clark St & Chicago Ave","casual",6171
"111","Lincoln Ave & Diversey Pkwy","casual",6162
"112","Kingsbury St & Erie St","casual",6159
"113","DuSable Lake Shore Dr & Ohio St","casual",6148
"114","Damen Ave & Cortland St","casual",6093
"115","Pine Grove Ave & Irving Park Rd","casual",6087
"116","Stetson Ave & South Water St","casual",5973
"117","Broadway & Sheridan Rd","casual",5963
"118","Shore Dr & 55th St","casual",5890
"119","Sheridan Rd & Montrose Ave","casual",5836
"120","Sheridan Rd & Irving Park Rd","casual",5821
"121","Honore St & Division St","casual",5817
"122","Southport Ave & Wellington Ave","casual",5766
"123","Clark St & Randolph St","casual",5765
"124","Milwaukee Ave & Wabansia Ave","casual",5705
"125","Franklin St & Lake St","casual",5692
"126","Canal St & Adams St","casual",5678
"127","Clinton St & Lake St","casual",5570
"128","Wentworth Ave & Cermak Rd","casual",5565
"129","Dayton St & North Ave","casual",5558
"130","Greenview Ave & Fullerton Ave","casual",5518
"131","Burling St & Diversey Pkwy","casual",5489
"132","Wells St & Polk St","casual",5470
"133","Fort Dearborn Dr & 31st St","casual",5434
"134","Clinton St & Washington Blvd","casual",5399
"135","Peoria St & Jackson Blvd","casual",5313
"136","Michigan Ave & 14th St","casual",5257
"137","Damen Ave & Chicago Ave","casual",5178
"138","Ogden Ave & Chicago Ave","casual",5154
"139","Desplaines St & Randolph St","casual",5153
"140","Southport Ave & Belmont Ave","casual",5145
"141","Clark St & Winnemac Ave","casual",5087
"142","Burnham Harbor","casual",5082
"143","Damen Ave & Division St","casual",5001
"144","Sheffield Ave & Kingsbury St","casual",4957
"145","Racine Ave & Fullerton Ave","casual",4945
"146","Ashland Ave & Blackhawk St","casual",4933
"147","Michigan Ave & Ida B Wells Dr","casual",4928
"148","Wabash Ave & Adams St","casual",4907
"149","Clarendon Ave & Gordon Ter","casual",4879
"150","Franklin St & Chicago Ave","casual",4862
"151","Kimbark Ave & 53rd St","casual",4846
"152","State St & Pearson St","casual",4835
"153","Clarendon Ave & Junior Ter","casual",4808
"154","Larrabee St & Division St","casual",4779
"155","Larrabee St & Kingsbury St","casual",4742
"156","Orleans St & Chestnut St (NEXT Apts)","casual",4679
"157","Sheffield Ave & Willow St","casual",4659
"158","Western Ave & Winnebago Ave","casual",4642
"159","Southport Ave & Clybourn Ave","casual",4626
"160","Carpenter St & Huron St","casual",4619
"161","University Ave & 57th St","casual",4618
"162","Lincoln Ave & Roscoe St","casual",4596
"163","Ravenswood Ave & Lawrence Ave","casual",4589
"164","Cannon Dr & Fullerton Ave","casual",4585
"165","State St & Harrison St","casual",4575
"166","Ellis Ave & 60th St","casual",4548
"167","Halsted St & Willow St","casual",4492
"168","Franklin St & Monroe St","casual",4488
"169","Clark St & Berwyn Ave","casual",4452
"170","Paulina Ave & North Ave","casual",4404
"171","Canal St & Madison St","casual",4354
"172","Larrabee St & Armitage Ave","casual",4347
"173","Eckhart Park","casual",4330
"174","Lincoln Ave & Belmont Ave","casual",4308
"175","Lakefront Trail & Wilson Ave","casual",4303
"176","Clifton Ave & Armitage Ave","casual",4279
"177","Sedgwick St & Huron St","casual",4220
"178","Sangamon St & Washington Blvd","casual",4076
