"","start_station_name","member_casual","num_of_rides"
"1","Kingsbury St & Kinzie St","member",25248
"2","Clark St & Elm St","member",23802
"3","Wells St & Concord Ln","member",23212
"4","Wells St & Elm St","member",20556
"5","Ellis Ave & 60th St","member",18855
"6","Dearborn St & Erie St","member",18795
"7","Clinton St & Madison St","member",18468
"8","Wells St & Huron St","member",18379
"9","St. Clair St & Erie St","member",18137
"10","Clinton St & Washington Blvd","member",17662
"11","University Ave & 57th St","member",17194
"12","Wabash Ave & Grand Ave","member",17150
"13","Broadway & Barry Ave","member",16950
"14","Desplaines St & Kinzie St","member",16729
"15","Green St & Madison St","member",16360
"16","Clark St & Armitage Ave","member",16289
"17","Wells St & Hubbard St","member",15982
"18","Streeter Dr & Grand Ave","member",15791
"19","Wilton Ave & Belmont Ave","member",15409
"20","Loomis St & Lexington St","member",15385
"21","Clark St & Lincoln Ave","member",15264
"22","Ashland Ave & Division St","member",14625
"23","Clark St & Wrightwood Ave","member",14078
"24","Theater on the Lake","member",14048
"25","Sheffield Ave & Fullerton Ave","member",13912
"26","Kingsbury St & Erie St","member",13880
"27","Dearborn Pkwy & Delaware Pl","member",13859
"28","Larrabee St & Webster Ave","member",13778
"29","Michigan Ave & Oak St","member",13762
"30","Canal St & Adams St","member",13675
"31","Wabash Ave & Roosevelt Rd","member",13248
"32","Clark St & Drummond Pl","member",13090
"33","LaSalle St & Illinois St","member",13063
"34","Clinton St & Lake St","member",12947
"35","Clark St & Schiller St","member",12919
"36","Larrabee St & Kingsbury St","member",12918
"37","Broadway & Waveland Ave","member",12905
"38","Wells St & Evergreen Ave","member",12901
"39","Fairbanks Ct & Grand Ave","member",12870
"40","Indiana Ave & Roosevelt Rd","member",12867
"41","Orleans St & Merchandise Mart Plaza","member",12813
"42","Lakeview Ave & Fullerton Pkwy","member",12697
"43","Daley Center Plaza","member",12669
"44","Lincoln Ave & Fullerton Ave","member",12432
"45","Halsted St & Roscoe St","member",12345
"46","Halsted St & Clybourn Ave","member",12336
"47","DuSable Lake Shore Dr & North Blvd","member",12248
"48","McClurg Ct & Erie St","member",12228
"49","Broadway & Cornelia Ave","member",12191
"50","Columbus Dr & Randolph St","member",12135
"51","Clinton St & Jackson Blvd","member",12132
"52","Ellis Ave & 55th St","member",11925
"53","Michigan Ave & Washington St","member",11823
"54","Dearborn St & Monroe St","member",11691
